"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B00387","FORTUNE LIMOUSINES INC",,"2017","4","April","401","0","8"
"B01667","NEW GOLDEN HORSE C/L SVC,INC.",,"2016","10","October","32,430","0","175"
"B03285","FLUSHING LIMOUSINE TRANSPORTATION SERVICE CORP.",,"2020","11","November","5,482","0","46"
"B03445","INWOOD CAR AND LIMO INC",,"2025","12","December","71","0","3"
"B03064","AP LUXURY LIMOUSINE INC",,"2020","12","December","16","0","3"
"B02997","KALUMA TRANSPORTATION GROUP INC.",,"2020","8","August","34","0","5"
"B02397","CHICO EXPRESS CORP. 2",,"2022","10","October","233","0","2"
"B01406","GOTHAM CAR SERVICE INC.","LEGEND CAR SERVICE","2017","10","October","715","0","9"
"B03334","WTM 365 INC.","U.S. LIMO SYSTEMS","2023","2","February","105","0","10"
"B01285","UNION RADIO DISPATCH INC",,"2017","10","October","20,729","0","124"
"B03098","USA DRIVERS GROUP INC.",,"2018","10","October","52","0","1"
"B02491","CALL THREES LLC",,"2017","1","January","1,062","0","6"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2015","2","February","24,705","0","149"
"B02860","EVERY WHERE LIMO SERVICE INC.",,"2018","11","November","345","0","14"
"B01651","U.P.S. RADIO DISPATCH CORP.","WIRELESS CAR SERVICE","2018","6","June","631","0","23"
"B01877","U.S.A. LIMO. INC.","BLUE LINE","2017","12","December","5,165","0","152"
"B02554","IMMEDIATE LUXURY CAR & LIMO SERVICE INC.",,"2017","7","July","29","0","15"
"B01259","THE NEW BROOKLYN C/S INC",,"2017","5","May","21,863","0","69"
"B02285","VALERA GLOBAL, INC.",,"2017","3","March","4,328","0","87"
"B02725","KIRIN TRANSPORTATION INC",,"2016","9","September","1,927","0","29"
"B00095","LIBERTY CAR SERVICE INC.",,"2021","10","October","929","0","5"
"B01233","NEW LACONIA RAD DISP INC",,"2024","10","October","3,253","0","21"
"B00608","SUMMIT CORPORATE CAR INC.",,"2019","10","October","1,259","0","29"
"B00446","COMMUNICAR INCORPORATED",,"2018","12","December","3,524","0","80"
"B03105","MAZNA TRANSPORTATION CORPORATION",,"2026","1","January","214","0","13"
"B02213","EXPRESS 11 CAR SERVICE, INC.",,"2016","8","August","4,292","0","24"
"B02200","BCL NETWORK LLC",,"2018","3","March","287","0","11"
"B02661","MIC-LOU CAR SERVICES_LLC","LULU CAR SERVICES","2023","7","July","2,993","0","9"
"B03016","BEST DEAL BLACK INC.",,"2025","2","February","37,454","0","191"
"B02728","NEWTOWN PRIVATE CAR SERVICE INC.",,"2020","8","August","2,767","0","12"
"B01721","W.K. CAR & LIMO SERVICE INC",,"2024","5","May","1,203","0","11"
"B00222","REYNO CAR SVC, INC.",,"2019","11","November","2,475","0","17"
"B03033","FLEX EXPRESS CORP.",,"2024","10","October","2,305","0","19"
